epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39845.6,1.17537,5.69117,1.01722,0.75733,0.36044,0.3967,0.30949,0.68554,2.81473,0.82151,0.00333318,0.00333318,0.00333318
2,78661.2,1.03743,4.25077,0.95697,0.77798,0.38782,0.42965,0.3369,0.69339,2.71426,0.82015,0.00534654,0.00534654,0.00534654
3,106765,1.01626,4.04704,0.95045,0.72705,0.37725,0.43947,0.3325,0.83644,3.1777,0.84009,0.0060399,0.0060399,0.0060399
4,133935,0.97017,3.73534,0.93581,0.87641,0.35215,0.434,0.31961,0.94223,3.54971,0.85732,0.00406,0.00406,0.00406
5,163061,0.90115,3.32028,0.91417,0.74073,0.37847,0.44469,0.33902,0.82762,2.86566,0.83932,0.00208,0.00208,0.00208
